Year;Value;Country;Region;Income group
2000;4,7;Chile;Latin America & Caribbean;High income
2001;4,4;Chile;Latin America & Caribbean;High income
2002;4,2;Chile;Latin America & Caribbean;High income
2003;4,1;Chile;Latin America & Caribbean;High income
2004;4;Chile;Latin America & Caribbean;High income
2005;4;Chile;Latin America & Caribbean;High income
2006;3,9;Chile;Latin America & Caribbean;High income
2007;4;Chile;Latin America & Caribbean;High income
2008;4,1;Chile;Latin America & Caribbean;High income
2009;4,3;Chile;Latin America & Caribbean;High income
2010;4,2;Chile;Latin America & Caribbean;High income
2011;4,1;Chile;Latin America & Caribbean;High income
2012;3,9;Chile;Latin America & Caribbean;High income
2013;3,8;Chile;Latin America & Caribbean;High income
2014;3,8;Chile;Latin America & Caribbean;High income
2015;3,7;Chile;Latin America & Caribbean;High income
2000;15,9;China;East Asia & Pacific;Upper middle income
2001;15,8;China;East Asia & Pacific;Upper middle income
2002;15,8;China;East Asia & Pacific;Upper middle income
2003;15,7;China;East Asia & Pacific;Upper middle income
2004;15,6;China;East Asia & Pacific;Upper middle income
2005;15,3;China;East Asia & Pacific;Upper middle income
2006;14,9;China;East Asia & Pacific;Upper middle income
2007;14,2;China;East Asia & Pacific;Upper middle income
2008;13,5;China;East Asia & Pacific;Upper middle income
2009;12,7;China;East Asia & Pacific;Upper middle income
2010;11,9;China;East Asia & Pacific;Upper middle income
2011;11,3;China;East Asia & Pacific;Upper middle income
2012;10,8;China;East Asia & Pacific;Upper middle income
2013;10,3;China;East Asia & Pacific;Upper middle income
2014;9,9;China;East Asia & Pacific;Upper middle income
2015;9,6;China;East Asia & Pacific;Upper middle income
2000;9,7;Colombia;Latin America & Caribbean;Upper middle income
2001;9,4;Colombia;Latin America & Caribbean;Upper middle income
2002;9,2;Colombia;Latin America & Caribbean;Upper middle income
2003;9,2;Colombia;Latin America & Caribbean;Upper middle income
2004;9,3;Colombia;Latin America & Caribbean;Upper middle income
2005;9,7;Colombia;Latin America & Caribbean;Upper middle income
2006;9,6;Colombia;Latin America & Caribbean;Upper middle income
2007;9,3;Colombia;Latin America & Caribbean;Upper middle income
2008;9,5;Colombia;Latin America & Caribbean;Upper middle income
2009;10,4;Colombia;Latin America & Caribbean;Upper middle income
2010;11,1;Colombia;Latin America & Caribbean;Upper middle income
2011;10,9;Colombia;Latin America & Caribbean;Upper middle income
2012;10;Colombia;Latin America & Caribbean;Upper middle income
2013;8,8;Colombia;Latin America & Caribbean;Upper middle income
2014;7,7;Colombia;Latin America & Caribbean;Upper middle income
2015;7,1;Colombia;Latin America & Caribbean;Upper middle income
2000;32,5;Congo, Rep.;Sub-Saharan Africa;Lower middle income
2001;29,6;Congo, Rep.;Sub-Saharan Africa;Lower middle income
2002;27,9;Congo, Rep.;Sub-Saharan Africa;Lower middle income
2003;28,8;Congo, Rep.;Sub-Saharan Africa;Lower middle income
2004;30,7;Congo, Rep.;Sub-Saharan Africa;Lower middle income
2005;33,4;Congo, Rep.;Sub-Saharan Africa;Lower middle income
2006;34;Congo, Rep.;Sub-Saharan Africa;Lower middle income
2007;34;Congo, Rep.;Sub-Saharan Africa;Lower middle income
2008;33;Congo, Rep.;Sub-Saharan Africa;Lower middle income
2009;32;Congo, Rep.;Sub-Saharan Africa;Lower middle income
2010;30,8;Congo, Rep.;Sub-Saharan Africa;Lower middle income
2011;29,2;Congo, Rep.;Sub-Saharan Africa;Lower middle income
2012;28,3;Congo, Rep.;Sub-Saharan Africa;Lower middle income
2013;27,3;Congo, Rep.;Sub-Saharan Africa;Lower middle income
2014;27,1;Congo, Rep.;Sub-Saharan Africa;Lower middle income
2015;28,2;Congo, Rep.;Sub-Saharan Africa;Lower middle income
2000;5,1;Costa Rica;Latin America & Caribbean;Upper middle income
2001;5,3;Costa Rica;Latin America & Caribbean;Upper middle income
2002;5,7;Costa Rica;Latin America & Caribbean;Upper middle income
2003;5,9;Costa Rica;Latin America & Caribbean;Upper middle income
2004;5,8;Costa Rica;Latin America & Caribbean;Upper middle income
2005;5,4;Costa Rica;Latin America & Caribbean;Upper middle income
2006;5,1;Costa Rica;Latin America & Caribbean;Upper middle income
2007;5;Costa Rica;Latin America & Caribbean;Upper middle income
2008;5,1;Costa Rica;Latin America & Caribbean;Upper middle income
2009;5,2;Costa Rica;Latin America & Caribbean;Upper middle income
2010;5,2;Costa Rica;Latin America & Caribbean;Upper middle income
2011;5,2;Costa Rica;Latin America & Caribbean;Upper middle income
2012;5,4;Costa Rica;Latin America & Caribbean;Upper middle income
2013;5,6;Costa Rica;Latin America & Caribbean;Upper middle income
2014;5,7;Costa Rica;Latin America & Caribbean;Upper middle income
2015;5,6;Costa Rica;Latin America & Caribbean;Upper middle income
2000;17,6;Cote d'Ivoire;Sub-Saharan Africa;Lower middle income
2001;18,5;Cote d'Ivoire;Sub-Saharan Africa;Lower middle income
2002;18,5;Cote d'Ivoire;Sub-Saharan Africa;Lower middle income
2003;17,9;Cote d'Ivoire;Sub-Saharan Africa;Lower middle income
2004;16,9;Cote d'Ivoire;Sub-Saharan Africa;Lower middle income
2005;16,2;Cote d'Ivoire;Sub-Saharan Africa;Lower middle income
2006;15,9;Cote d'Ivoire;Sub-Saharan Africa;Lower middle income
2007;16;Cote d'Ivoire;Sub-Saharan Africa;Lower middle income
2008;16,5;Cote d'Ivoire;Sub-Saharan Africa;Lower middle income
2009;16,6;Cote d'Ivoire;Sub-Saharan Africa;Lower middle income
2010;16,5;Cote d'Ivoire;Sub-Saharan Africa;Lower middle income
2011;16;Cote d'Ivoire;Sub-Saharan Africa;Lower middle income
2012;15,6;Cote d'Ivoire;Sub-Saharan Africa;Lower middle income
2013;15,2;Cote d'Ivoire;Sub-Saharan Africa;Lower middle income
2014;15,1;Cote d'Ivoire;Sub-Saharan Africa;Lower middle income
2015;15,4;Cote d'Ivoire;Sub-Saharan Africa;Lower middle income
2000;10,4;Croatia;Europe & Central Asia;High income
2001;7,8;Croatia;Europe & Central Asia;High income
2002;5,8;Croatia;Europe & Central Asia;High income
2003;4,4;Croatia;Europe & Central Asia;High income
2004;3,5;Croatia;Europe & Central Asia;High income
2005;2,9;Croatia;Europe & Central Asia;High income
2006;2,5;Croatia;Europe & Central Asia;High income
2007;2,5;Croatia;Europe & Central Asia;High income
2008;2,5;Croatia;Europe & Central Asia;High income
2009;2,5;Croatia;Europe & Central Asia;High income
2010;2,5;Croatia;Europe & Central Asia;High income
2011;2,6;Croatia;Europe & Central Asia;High income
2012;2,5;Croatia;Europe & Central Asia;High income
2013;2,5;Croatia;Europe & Central Asia;High income
2014;2,5;Croatia;Europe & Central Asia;High income
2015;2,5;Croatia;Europe & Central Asia;High income
2000;3,7;Cuba;Latin America & Caribbean;Upper middle income
2001;2,8;Cuba;Latin America & Caribbean;Upper middle income
2002;2,5;Cuba;Latin America & Caribbean;Upper middle income
2003;2,5;Cuba;Latin America & Caribbean;Upper middle income
2004;2,5;Cuba;Latin America & Caribbean;Upper middle income
2005;2,5;Cuba;Latin America & Caribbean;Upper middle income
2006;2,5;Cuba;Latin America & Caribbean;Upper middle income
2007;2,5;Cuba;Latin America & Caribbean;Upper middle income
2008;2,5;Cuba;Latin America & Caribbean;Upper middle income
2009;2,5;Cuba;Latin America & Caribbean;Upper middle income
2010;2,5;Cuba;Latin America & Caribbean;Upper middle income
2011;2,5;Cuba;Latin America & Caribbean;Upper middle income
2012;2,5;Cuba;Latin America & Caribbean;Upper middle income
2013;2,5;Cuba;Latin America & Caribbean;Upper middle income
2014;2,5;Cuba;Latin America & Caribbean;Upper middle income
2015;2,5;Cuba;Latin America & Caribbean;Upper middle income
2000;3,5;Cyprus;Europe & Central Asia;High income
2001;3,9;Cyprus;Europe & Central Asia;High income
2002;4,4;Cyprus;Europe & Central Asia;High income
2003;4,9;Cyprus;Europe & Central Asia;High income
2004;5,4;Cyprus;Europe & Central Asia;High income
2005;5,7;Cyprus;Europe & Central Asia;High income
2006;5,6;Cyprus;Europe & Central Asia;High income
2007;5,2;Cyprus;Europe & Central Asia;High income
2008;4,7;Cyprus;Europe & Central Asia;High income
2009;4,5;Cyprus;Europe & Central Asia;High income
2010;4,4;Cyprus;Europe & Central Asia;High income
2011;4,4;Cyprus;Europe & Central Asia;High income
2012;4,5;Cyprus;Europe & Central Asia;High income
2013;4,7;Cyprus;Europe & Central Asia;High income
2014;4,8;Cyprus;Europe & Central Asia;High income
2015;4,7;Cyprus;Europe & Central Asia;High income
2000;2,5;Czech Republic;Europe & Central Asia;High income
2001;2,5;Czech Republic;Europe & Central Asia;High income
2002;2,5;Czech Republic;Europe & Central Asia;High income
2003;2,5;Czech Republic;Europe & Central Asia;High income
2004;2,5;Czech Republic;Europe & Central Asia;High income
2005;2,5;Czech Republic;Europe & Central Asia;High income
2006;2,5;Czech Republic;Europe & Central Asia;High income
2007;2,5;Czech Republic;Europe & Central Asia;High income
2008;2,5;Czech Republic;Europe & Central Asia;High income
2009;2,5;Czech Republic;Europe & Central Asia;High income
2010;2,5;Czech Republic;Europe & Central Asia;High income
2011;2,5;Czech Republic;Europe & Central Asia;High income
2012;2,5;Czech Republic;Europe & Central Asia;High income
2013;2,5;Czech Republic;Europe & Central Asia;High income
2014;2,5;Czech Republic;Europe & Central Asia;High income
2015;2,5;Czech Republic;Europe & Central Asia;High income
2000;2,5;Denmark;Europe & Central Asia;High income
2001;2,5;Denmark;Europe & Central Asia;High income
2002;2,5;Denmark;Europe & Central Asia;High income
2003;2,5;Denmark;Europe & Central Asia;High income
2004;2,5;Denmark;Europe & Central Asia;High income
2005;2,5;Denmark;Europe & Central Asia;High income
2006;2,5;Denmark;Europe & Central Asia;High income
2007;2,5;Denmark;Europe & Central Asia;High income
2008;2,5;Denmark;Europe & Central Asia;High income
2009;2,5;Denmark;Europe & Central Asia;High income
2010;2,5;Denmark;Europe & Central Asia;High income
2011;2,5;Denmark;Europe & Central Asia;High income
2012;2,5;Denmark;Europe & Central Asia;High income
2013;2,5;Denmark;Europe & Central Asia;High income
2014;2,5;Denmark;Europe & Central Asia;High income
2015;2,5;Denmark;Europe & Central Asia;High income
2000;48,1;Djibouti;Middle East & North Africa;Lower middle income
2001;45,6;Djibouti;Middle East & North Africa;Lower middle income
2002;43;Djibouti;Middle East & North Africa;Lower middle income
2003;40,1;Djibouti;Middle East & North Africa;Lower middle income
2004;36,6;Djibouti;Middle East & North Africa;Lower middle income
2005;32,5;Djibouti;Middle East & North Africa;Lower middle income
2006;28,8;Djibouti;Middle East & North Africa;Lower middle income
2007;25,8;Djibouti;Middle East & North Africa;Lower middle income
2008;24,1;Djibouti;Middle East & North Africa;Lower middle income
2009;23;Djibouti;Middle East & North Africa;Lower middle income
2010;22,3;Djibouti;Middle East & North Africa;Lower middle income
2011;21,2;Djibouti;Middle East & North Africa;Lower middle income
2012;19,4;Djibouti;Middle East & North Africa;Lower middle income
2013;17,2;Djibouti;Middle East & North Africa;Lower middle income
2014;14,7;Djibouti;Middle East & North Africa;Lower middle income
2015;12,8;Djibouti;Middle East & North Africa;Lower middle income
2000;4,7;Dominica;Latin America & Caribbean;Upper middle income
2001;4,4;Dominica;Latin America & Caribbean;Upper middle income
2002;4,6;Dominica;Latin America & Caribbean;Upper middle income
2003;5;Dominica;Latin America & Caribbean;Upper middle income
2004;5,5;Dominica;Latin America & Caribbean;Upper middle income
2005;5,7;Dominica;Latin America & Caribbean;Upper middle income
2006;5,6;Dominica;Latin America & Caribbean;Upper middle income
2007;5,1;Dominica;Latin America & Caribbean;Upper middle income
2008;4,9;Dominica;Latin America & Caribbean;Upper middle income
2009;4,9;Dominica;Latin America & Caribbean;Upper middle income
2010;5,2;Dominica;Latin America & Caribbean;Upper middle income
2011;5,6;Dominica;Latin America & Caribbean;Upper middle income
2012;5,9;Dominica;Latin America & Caribbean;Upper middle income
2013;6,1;Dominica;Latin America & Caribbean;Upper middle income
2014;6;Dominica;Latin America & Caribbean;Upper middle income
2015;5,8;Dominica;Latin America & Caribbean;Upper middle income
2000;28,1;Dominican Republic;Latin America & Caribbean;Upper middle income
2001;27,1;Dominican Republic;Latin America & Caribbean;Upper middle income
2002;27,5;Dominican Republic;Latin America & Caribbean;Upper middle income
2003;28,3;Dominican Republic;Latin America & Caribbean;Upper middle income
2004;27;Dominican Republic;Latin America & Caribbean;Upper middle income
2005;24,4;Dominican Republic;Latin America & Caribbean;Upper middle income
2006;21,9;Dominican Republic;Latin America & Caribbean;Upper middle income
2007;20,9;Dominican Republic;Latin America & Caribbean;Upper middle income
2008;20,2;Dominican Republic;Latin America & Caribbean;Upper middle income
2009;18,6;Dominican Republic;Latin America & Caribbean;Upper middle income
2010;16,5;Dominican Republic;Latin America & Caribbean;Upper middle income
2011;14,6;Dominican Republic;Latin America & Caribbean;Upper middle income
2012;13,8;Dominican Republic;Latin America & Caribbean;Upper middle income
2013;13,6;Dominican Republic;Latin America & Caribbean;Upper middle income
2014;13,7;Dominican Republic;Latin America & Caribbean;Upper middle income
2015;13,5;Dominican Republic;Latin America & Caribbean;Upper middle income
2000;18,5;Ecuador;Latin America & Caribbean;Upper middle income
2001;18,8;Ecuador;Latin America & Caribbean;Upper middle income
2002;18,9;Ecuador;Latin America & Caribbean;Upper middle income
2003;18,6;Ecuador;Latin America & Caribbean;Upper middle income
2004;17,7;Ecuador;Latin America & Caribbean;Upper middle income
2005;17;Ecuador;Latin America & Caribbean;Upper middle income
2006;16,2;Ecuador;Latin America & Caribbean;Upper middle income
2007;15,6;Ecuador;Latin America & Caribbean;Upper middle income
2008;14,6;Ecuador;Latin America & Caribbean;Upper middle income
2009;13,5;Ecuador;Latin America & Caribbean;Upper middle income
2010;12,2;Ecuador;Latin America & Caribbean;Upper middle income
2011;11,7;Ecuador;Latin America & Caribbean;Upper middle income
2012;11,5;Ecuador;Latin America & Caribbean;Upper middle income
2013;11,7;Ecuador;Latin America & Caribbean;Upper middle income
2014;11,9;Ecuador;Latin America & Caribbean;Upper middle income
2015;12,1;Ecuador;Latin America & Caribbean;Upper middle income
2000;5,3;Egypt, Arab Rep.;Middle East & North Africa;Lower middle income
2001;5,2;Egypt, Arab Rep.;Middle East & North Africa;Lower middle income
2002;5,2;Egypt, Arab Rep.;Middle East & North Africa;Lower middle income
2003;5,4;Egypt, Arab Rep.;Middle East & North Africa;Lower middle income
2004;5,5;Egypt, Arab Rep.;Middle East & North Africa;Lower middle income
2005;5,4;Egypt, Arab Rep.;Middle East & North Africa;Lower middle income
2006;5,1;Egypt, Arab Rep.;Middle East & North Africa;Lower middle income
2007;4,8;Egypt, Arab Rep.;Middle East & North Africa;Lower middle income
2008;4,6;Egypt, Arab Rep.;Middle East & North Africa;Lower middle income
2009;4,5;Egypt, Arab Rep.;Middle East & North Africa;Lower middle income
2010;4,5;Egypt, Arab Rep.;Middle East & North Africa;Lower middle income
2011;4,5;Egypt, Arab Rep.;Middle East & North Africa;Lower middle income
2012;4,4;Egypt, Arab Rep.;Middle East & North Africa;Lower middle income
2013;4,4;Egypt, Arab Rep.;Middle East & North Africa;Lower middle income
2014;4,4;Egypt, Arab Rep.;Middle East & North Africa;Lower middle income
2015;4,5;Egypt, Arab Rep.;Middle East & North Africa;Lower middle income
2000;11,2;El Salvador;Latin America & Caribbean;Lower middle income
2001;9,5;El Salvador;Latin America & Caribbean;Lower middle income
2002;9;El Salvador;Latin America & Caribbean;Lower middle income
2003;9,5;El Salvador;Latin America & Caribbean;Lower middle income
2004;10,2;El Salvador;Latin America & Caribbean;Lower middle income
2005;10,7;El Salvador;Latin America & Caribbean;Lower middle income
2006;11;El Salvador;Latin America & Caribbean;Lower middle income
2007;11,2;El Salvador;Latin America & Caribbean;Lower middle income
2008;11,6;El Salvador;Latin America & Caribbean;Lower middle income
2009;12,2;El Salvador;Latin America & Caribbean;Lower middle income
2010;12,7;El Salvador;Latin America & Caribbean;Lower middle income
2011;12,9;El Salvador;Latin America & Caribbean;Lower middle income
2012;12,8;El Salvador;Latin America & Caribbean;Lower middle income
2013;12,4;El Salvador;Latin America & Caribbean;Lower middle income
2014;12,1;El Salvador;Latin America & Caribbean;Lower middle income
2015;12,3;El Salvador;Latin America & Caribbean;Lower middle income
2000;5,6;Estonia;Europe & Central Asia;High income
2001;5,5;Estonia;Europe & Central Asia;High income
2002;5,5;Estonia;Europe & Central Asia;High income
2003;5,2;Estonia;Europe & Central Asia;High income
2004;4,8;Estonia;Europe & Central Asia;High income
2005;4,2;Estonia;Europe & Central Asia;High income
2006;3,7;Estonia;Europe & Central Asia;High income
2007;3,2;Estonia;Europe & Central Asia;High income
2008;2,8;Estonia;Europe & Central Asia;High income
2009;2,5;Estonia;Europe & Central Asia;High income
2010;2,5;Estonia;Europe & Central Asia;High income
2011;2,7;Estonia;Europe & Central Asia;High income
2012;2,9;Estonia;Europe & Central Asia;High income
2013;2,9;Estonia;Europe & Central Asia;High income
2014;2,7;Estonia;Europe & Central Asia;High income
2015;2,5;Estonia;Europe & Central Asia;High income
2000;51,9;Ethiopia;Sub-Saharan Africa;Low income
2001;49;Ethiopia;Sub-Saharan Africa;Low income
2002;46,7;Ethiopia;Sub-Saharan Africa;Low income
2003;44,2;Ethiopia;Sub-Saharan Africa;Low income
2004;42;Ethiopia;Sub-Saharan Africa;Low income
2005;39,7;Ethiopia;Sub-Saharan Africa;Low income
2006;38,5;Ethiopia;Sub-Saharan Africa;Low income
2007;37,2;Ethiopia;Sub-Saharan Africa;Low income
2008;35,6;Ethiopia;Sub-Saharan Africa;Low income
2009;33,7;Ethiopia;Sub-Saharan Africa;Low income
2010;32,1;Ethiopia;Sub-Saharan Africa;Low income
2011;31;Ethiopia;Sub-Saharan Africa;Low income
2012;30,2;Ethiopia;Sub-Saharan Africa;Low income
2013;29,4;Ethiopia;Sub-Saharan Africa;Low income
2014;28,5;Ethiopia;Sub-Saharan Africa;Low income
2015;28,8;Ethiopia;Sub-Saharan Africa;Low income
2000;4,8;Fiji;East Asia & Pacific;Upper middle income
2001;4,7;Fiji;East Asia & Pacific;Upper middle income
2002;4,6;Fiji;East Asia & Pacific;Upper middle income
2003;4,5;Fiji;East Asia & Pacific;Upper middle income
2004;4,4;Fiji;East Asia & Pacific;Upper middle income
2005;4,3;Fiji;East Asia & Pacific;Upper middle income
2006;4,2;Fiji;East Asia & Pacific;Upper middle income
2007;4,3;Fiji;East Asia & Pacific;Upper middle income
2008;4,3;Fiji;East Asia & Pacific;Upper middle income
2009;4,5;Fiji;East Asia & Pacific;Upper middle income
2010;4,5;Fiji;East Asia & Pacific;Upper middle income
2011;4,5;Fiji;East Asia & Pacific;Upper middle income
2012;4,4;Fiji;East Asia & Pacific;Upper middle income
2013;4,4;Fiji;East Asia & Pacific;Upper middle income
2014;4,5;Fiji;East Asia & Pacific;Upper middle income
2015;4,6;Fiji;East Asia & Pacific;Upper middle income
2000;2,5;Finland;Europe & Central Asia;High income
2001;2,5;Finland;Europe & Central Asia;High income
2002;2,5;Finland;Europe & Central Asia;High income
2003;2,5;Finland;Europe & Central Asia;High income
2004;2,5;Finland;Europe & Central Asia;High income
2005;2,5;Finland;Europe & Central Asia;High income
2006;2,5;Finland;Europe & Central Asia;High income
2007;2,5;Finland;Europe & Central Asia;High income
2008;2,5;Finland;Europe & Central Asia;High income
2009;2,5;Finland;Europe & Central Asia;High income
2010;2,5;Finland;Europe & Central Asia;High income
2011;2,5;Finland;Europe & Central Asia;High income
2012;2,5;Finland;Europe & Central Asia;High income
2013;2,5;Finland;Europe & Central Asia;High income
2014;2,5;Finland;Europe & Central Asia;High income
2015;2,5;Finland;Europe & Central Asia;High income
2000;2,5;France;Europe & Central Asia;High income
2001;2,5;France;Europe & Central Asia;High income
2002;2,5;France;Europe & Central Asia;High income
2003;2,5;France;Europe & Central Asia;High income
2004;2,5;France;Europe & Central Asia;High income
2005;2,5;France;Europe & Central Asia;High income
2006;2,5;France;Europe & Central Asia;High income
2007;2,5;France;Europe & Central Asia;High income
2008;2,5;France;Europe & Central Asia;High income
2009;2,5;France;Europe & Central Asia;High income
2010;2,5;France;Europe & Central Asia;High income
2011;2,5;France;Europe & Central Asia;High income
2012;2,5;France;Europe & Central Asia;High income
2013;2,5;France;Europe & Central Asia;High income
2014;2,5;France;Europe & Central Asia;High income
2015;2,5;France;Europe & Central Asia;High income
2000;4,6;French Polynesia;East Asia & Pacific;High income
2001;4,3;French Polynesia;East Asia & Pacific;High income
2002;4;French Polynesia;East Asia & Pacific;High income
2003;3,9;French Polynesia;East Asia & Pacific;High income
2004;3,9;French Polynesia;East Asia & Pacific;High income
2005;3,9;French Polynesia;East Asia & Pacific;High income
2006;4;French Polynesia;East Asia & Pacific;High income
2007;4,2;French Polynesia;East Asia & Pacific;High income
2008;4,3;French Polynesia;East Asia & Pacific;High income
2009;4,5;French Polynesia;East Asia & Pacific;High income
2010;4,5;French Polynesia;East Asia & Pacific;High income
2011;4,6;French Polynesia;East Asia & Pacific;High income
2012;4,6;French Polynesia;East Asia & Pacific;High income
2013;4,7;French Polynesia;East Asia & Pacific;High income
2014;4,8;French Polynesia;East Asia & Pacific;High income
2015;4,9;French Polynesia;East Asia & Pacific;High income
2000;9,4;Gabon;Sub-Saharan Africa;Upper middle income
2001;9,7;Gabon;Sub-Saharan Africa;Upper middle income
2002;10,2;Gabon;Sub-Saharan Africa;Upper middle income
2003;10,2;Gabon;Sub-Saharan Africa;Upper middle income
2004;10,1;Gabon;Sub-Saharan Africa;Upper middle income
2005;9,7;Gabon;Sub-Saharan Africa;Upper middle income
2006;9,8;Gabon;Sub-Saharan Africa;Upper middle income
2007;10;Gabon;Sub-Saharan Africa;Upper middle income
2008;10,2;Gabon;Sub-Saharan Africa;Upper middle income
2009;9,9;Gabon;Sub-Saharan Africa;Upper middle income
2010;9,4;Gabon;Sub-Saharan Africa;Upper middle income
2011;8,6;Gabon;Sub-Saharan Africa;Upper middle income
2012;7,9;Gabon;Sub-Saharan Africa;Upper middle income
2013;7,3;Gabon;Sub-Saharan Africa;Upper middle income
2014;7;Gabon;Sub-Saharan Africa;Upper middle income
2015;7;Gabon;Sub-Saharan Africa;Upper middle income
2000;13,1;Gambia, The;Sub-Saharan Africa;Low income
2001;13;Gambia, The;Sub-Saharan Africa;Low income
2002;13,9;Gambia, The;Sub-Saharan Africa;Low income
2003;14,6;Gambia, The;Sub-Saharan Africa;Low income
2004;15,1;Gambia, The;Sub-Saharan Africa;Low income
2005;15,1;Gambia, The;Sub-Saharan Africa;Low income
2006;14,5;Gambia, The;Sub-Saharan Africa;Low income
2007;12,9;Gambia, The;Sub-Saharan Africa;Low income
2008;11,3;Gambia, The;Sub-Saharan Africa;Low income
2009;9,9;Gambia, The;Sub-Saharan Africa;Low income
2010;9,2;Gambia, The;Sub-Saharan Africa;Low income
2011;9;Gambia, The;Sub-Saharan Africa;Low income
2012;9,3;Gambia, The;Sub-Saharan Africa;Low income
2013;9,9;Gambia, The;Sub-Saharan Africa;Low income
2014;10,5;Gambia, The;Sub-Saharan Africa;Low income
2015;10,9;Gambia, The;Sub-Saharan Africa;Low income
2000;13,7;Georgia;Europe & Central Asia;Lower middle income
2001;13,8;Georgia;Europe & Central Asia;Lower middle income
2002;11,6;Georgia;Europe & Central Asia;Lower middle income
2003;9,4;Georgia;Europe & Central Asia;Lower middle income
2004;8,1;Georgia;Europe & Central Asia;Lower middle income
2005;7,4;Georgia;Europe & Central Asia;Lower middle income
2006;7,2;Georgia;Europe & Central Asia;Lower middle income
2007;7;Georgia;Europe & Central Asia;Lower middle income
2008;6,9;Georgia;Europe & Central Asia;Lower middle income
2009;7,2;Georgia;Europe & Central Asia;Lower middle income
2010;8;Georgia;Europe & Central Asia;Lower middle income
2011;8,4;Georgia;Europe & Central Asia;Lower middle income
2012;8,2;Georgia;Europe & Central Asia;Lower middle income
2013;7,5;Georgia;Europe & Central Asia;Lower middle income
2014;6,7;Georgia;Europe & Central Asia;Lower middle income
2015;7;Georgia;Europe & Central Asia;Lower middle income
2000;2,5;Germany;Europe & Central Asia;High income
2001;2,5;Germany;Europe & Central Asia;High income
2002;2,5;Germany;Europe & Central Asia;High income
2003;2,5;Germany;Europe & Central Asia;High income
2004;2,5;Germany;Europe & Central Asia;High income
2005;2,5;Germany;Europe & Central Asia;High income
2006;2,5;Germany;Europe & Central Asia;High income
2007;2,5;Germany;Europe & Central Asia;High income
2008;2,5;Germany;Europe & Central Asia;High income
2009;2,5;Germany;Europe & Central Asia;High income
2010;2,5;Germany;Europe & Central Asia;High income
2011;2,5;Germany;Europe & Central Asia;High income
2012;2,5;Germany;Europe & Central Asia;High income
2013;2,5;Germany;Europe & Central Asia;High income
2014;2,5;Germany;Europe & Central Asia;High income
2015;2,5;Germany;Europe & Central Asia;High income
2000;15,9;Ghana;Sub-Saharan Africa;Lower middle income
2001;13,9;Ghana;Sub-Saharan Africa;Lower middle income
2002;12,3;Ghana;Sub-Saharan Africa;Lower middle income
2003;11,2;Ghana;Sub-Saharan Africa;Lower middle income
2004;10,2;Ghana;Sub-Saharan Africa;Lower middle income
2005;9,3;Ghana;Sub-Saharan Africa;Lower middle income
2006;8,4;Ghana;Sub-Saharan Africa;Lower middle income
2007;7,4;Ghana;Sub-Saharan Africa;Lower middle income
2008;6,4;Ghana;Sub-Saharan Africa;Lower middle income
2009;5,7;Ghana;Sub-Saharan Africa;Lower middle income
2010;5,4;Ghana;Sub-Saharan Africa;Lower middle income
2011;5,6;Ghana;Sub-Saharan Africa;Lower middle income
2012;6,1;Ghana;Sub-Saharan Africa;Lower middle income
2013;6,5;Ghana;Sub-Saharan Africa;Lower middle income
2014;6,8;Ghana;Sub-Saharan Africa;Lower middle income
2015;7,6;Ghana;Sub-Saharan Africa;Lower middle income
2000;2,5;Greece;Europe & Central Asia;High income
2001;2,5;Greece;Europe & Central Asia;High income
2002;2,5;Greece;Europe & Central Asia;High income
2003;2,5;Greece;Europe & Central Asia;High income
2004;2,5;Greece;Europe & Central Asia;High income
2005;2,5;Greece;Europe & Central Asia;High income
2006;2,5;Greece;Europe & Central Asia;High income
2007;2,5;Greece;Europe & Central Asia;High income
2008;2,5;Greece;Europe & Central Asia;High income
2009;2,5;Greece;Europe & Central Asia;High income
2010;2,5;Greece;Europe & Central Asia;High income
2011;2,5;Greece;Europe & Central Asia;High income
2012;2,5;Greece;Europe & Central Asia;High income
2013;2,5;Greece;Europe & Central Asia;High income
2014;2,5;Greece;Europe & Central Asia;High income
2015;2,5;Greece;Europe & Central Asia;High income
2000;31,1;Grenada;Latin America & Caribbean;Upper middle income
2001;30,8;Grenada;Latin America & Caribbean;Upper middle income
2002;30;Grenada;Latin America & Caribbean;Upper middle income
2003;29,2;Grenada;Latin America & Caribbean;Upper middle income
2004;28,4;Grenada;Latin America & Caribbean;Upper middle income
2005;27,8;Grenada;Latin America & Caribbean;Upper middle income
2006;27,2;Grenada;Latin America & Caribbean;Upper middle income
2007;26,7;Grenada;Latin America & Caribbean;Upper middle income
2008;26,1;Grenada;Latin America & Caribbean;Upper middle income
2009;25,7;Grenada;Latin America & Caribbean;Upper middle income
2010;25,5;Grenada;Latin America & Caribbean;Upper middle income
2011;25,5;Grenada;Latin America & Caribbean;Upper middle income
2012;25,4;Grenada;Latin America & Caribbean;Upper middle income
2013;25,3;Grenada;Latin America & Caribbean;Upper middle income
2014;25,4;Grenada;Latin America & Caribbean;Upper middle income
2015;25,5;Grenada;Latin America & Caribbean;Upper middle income
2000;20,7;Guatemala;Latin America & Caribbean;Upper middle income
2001;18,4;Guatemala;Latin America & Caribbean;Upper middle income
2002;16,7;Guatemala;Latin America & Caribbean;Upper middle income
2003;16,1;Guatemala;Latin America & Caribbean;Upper middle income
2004;16,1;Guatemala;Latin America & Caribbean;Upper middle income
2005;16;Guatemala;Latin America & Caribbean;Upper middle income
